Домен	Артикул	Тип товара	Наименование	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID
Мебель		Christmas tree		150cm			slim, pencil, warm, leds, entryway	4800	s3_1
Мебель		Guitar stand			black	metal	single, foldable, adjustable, padded	1450	s3_2
Мебель		Monitor stand		50x22x12		wood, walnut		1450	s3_3
Мебель		Dining chair			black	eco-leather, metal	set of 2	5400	s3_4
Мебель		Storage basket		d=35	cream	cotton, rope	tassels	1450	s3_5
Мебель		Sofa set			grey	poly-rattan	outdoor, l-shape, 7-piece	94400	s3_6
Мебель		Bedspread		180x220	grey	microfiber	reversible	2950	s3_7
Мебель		Mattress cover		160x200			encasement, waterproof, bedbug-proof	3200	s3_8
Мебель		Bed	Oslo	160x200	natural	oak	tatami, platform, low-profile	38400	s3_9
Мебель		Halloween decor		120cm		metal	witch, yard, set of 3	3200	s3_10
Мебель		Chest		45x25x30		wood	antique, tabletop, hand-carved	3450	s3_11
Мебель		Wall clock		d=80			antique-style, round, distressed, roman	5400	s3_12
Мебель		Cabinet		3m			led, strip, kitchen, under, motion	2400	s3_13
Мебель		Mattress topper		200x200, 7cm		memory foam, foam	cooling	12400	s3_14
Мебель		Dining set				aluminum, teak	patio, 6-seater, top	72400	s3_15
Мебель		USB hub	Oslo				under-desk, clamp, 4-port, charger, pad	2800	s3_16
Мебель		Sofa set	Oslo		brown	rattan	corner, 6-seater	94200	s3_17
Мебель		Massage table		70x190	black	wood	portable	18400	s3_18
Мебель		Area rug		60x250	beige	sisal	hallway, runner	4200	s3_19
Мебель		LED strip	Stella	10m			smart, lighting, rgb, tuya, app, gradient	3450	s3_20
Мебель		Bar stool	Oslo	50x50x85	gold	velvet	rose, legs	4800	s3_21
Мебель		Bench	Oslo	50x20x20	natural	bamboo	yoga, foldable, kneeling	2800	s3_22
Мебель		Umbrella	Aria	25x25x55	ivory	ceramic	stand, minimal	2400	s3_23
Мебель		Bedside cabinet	Verona			wood, walnut	1-door, 1-drawer	7400	s3_24
Мебель		Bed	Adeline	140x40x45	champagne	velvet	bench, end-of, luxe	9800	s3_25
Мебель		Sun lounger			white	aluminum	set of 2	19400	s3_26
Мебель		Dining set	Adeline		brown	rattan	patio, 8-seater	94400	s3_27
Мебель		Yoga mat			natural, sage	canvas	bag, adjustable, strap	980	s3_28
