vector_row,product_index,id,article,domain,price,description,characteristics_text
0,0,s1_1,,Мебель,15700,"Тумба под умывальник Орхидея 60×45×60 белый подвесная, патина, патина с цветами","Тип товара: Тумба под умывальник; Наименование: Орхидея; Габариты: 60×45×60; Цвет: белый; Особенности: подвесная, патина, патина с цветами"
1,1,s1_2,,Мебель,19400,Диван-кушетка Кокон пудровый рогожка 1-местная,Тип товара: Диван-кушетка; Наименование: Кокон; Цвет: пудровый; Материал: рогожка; Особенности: 1-местная
2,2,s1_3,,Мебель,28900,Полутораспальная кровать Камелия 120×200 пудровый велюр,Тип товара: Полутораспальная кровать; Наименование: Камелия; Габариты: 120×200; Цвет: пудровый; Материал: велюр
3,3,s1_4,,Мебель,5900,Кресло-мешок Кокон серый велюр XXL,Тип товара: Кресло-мешок; Наименование: Кокон; Цвет: серый; Материал: велюр; Особенности: XXL
4,4,s1_5,,Мебель,9700,Шкаф для прихожей пенал Стокгольм 50×30×210 дуб артизан для прихожей,Тип товара: Шкаф для прихожей пенал; Наименование: Стокгольм; Габариты: 50×30×210; Цвет: дуб артизан; Особенности: для прихожей
5,5,s1_6,,Мебель,38700,Стол обеденный Турин 160×90 орех шпон ореха раздвижной,Тип товара: Стол обеденный; Наименование: Турин; Габариты: 160×90; Цвет: орех; Материал: шпон ореха; Особенности: раздвижной
6,6,s1_7,,Мебель,33800,"Журнальный столик Палаццо 110×60 чёрный мрамор каррара, металл овальный","Тип товара: Журнальный столик; Наименование: Палаццо; Габариты: 110×60; Цвет: чёрный; Материал: мрамор каррара, металл; Особенности: овальный"
7,7,s1_8,,Мебель,34800,"Кресло-реклайнер Премьер графит велюр, ткань механический, с подножкой, механический с подножкой","Тип товара: Кресло-реклайнер; Наименование: Премьер; Цвет: графит; Материал: велюр, ткань; Особенности: механический, с подножкой, механический с подножкой"
8,8,s1_9,,Мебель,44900,"Диван угловой Лофт чёрная экокожа с механизмом дельфин, угловой, лофт","Тип товара: Диван угловой; Наименование: Лофт; Цвет: чёрная; Материал: экокожа; Особенности: с механизмом дельфин, угловой, лофт"
9,9,s1_10,,Мебель,14200,"Шкаф детский Школьник белый, бирюзовый 2-секционный, с полками, 2-секционный с полками","Тип товара: Шкаф детский; Наименование: Школьник; Цвет: белый, бирюзовый; Особенности: 2-секционный, с полками, 2-секционный с полками"
10,10,s1_11,,Мебель,13800,"Зеркало-трюмо отдельностоящее в раме с подсветкой 60×80 с подсветкой, отдельностоящее","Тип товара: Зеркало-трюмо отдельностоящее в раме с подсветкой; Габариты: 60×80; Особенности: с подсветкой, отдельностоящее"
11,11,s1_12,,Мебель,4800,"Стул Виндзор натуральный массив из массива бука, классический","Тип товара: Стул; Наименование: Виндзор; Цвет: натуральный; Материал: массив; Особенности: из массива бука, классический"
12,12,s1_13,,Мебель,28400,"Кресло подвесное Качели белый искусственный ротанг подвесное, на стойке, swing chair на стойке","Тип товара: Кресло подвесное; Наименование: Качели; Цвет: белый; Материал: искусственный ротанг; Особенности: подвесное, на стойке, swing chair на стойке"
13,13,s1_14,,Мебель,13700,"Зеркало с подсветкой Лазурь 90×70 с подсветкой, антипар, регулировка температуры света, прямоугольное","Тип товара: Зеркало с подсветкой; Наименование: Лазурь; Габариты: 90×70; Особенности: с подсветкой, антипар, регулировка температуры света, прямоугольное"
14,14,s1_15,,Мебель,19700,"Туалетный столик Карина 90×45 белый с подсветкой, матовый, с подсветкой зеркала","Тип товара: Туалетный столик; Наименование: Карина; Габариты: 90×45; Цвет: белый; Особенности: с подсветкой, матовый, с подсветкой зеркала"
15,15,s1_16,,Мебель,48700,"Сервант с подсветкой Камелия 140×45×185 белый, золото стекло с подсветкой, стеклянные дверцы, с патиной","Тип товара: Сервант с подсветкой; Наименование: Камелия; Габариты: 140×45×185; Цвет: белый, золото; Материал: стекло; Особенности: с подсветкой, стеклянные дверцы, с патиной"
16,16,s1_17,,Мебель,2900,"Стул барный Минск ЛДСП регулируемая высота, эконом, на крестовине, сиденье на крестовине","Тип товара: Стул барный; Наименование: Минск; Материал: ЛДСП; Особенности: регулируемая высота, эконом, на крестовине, сиденье на крестовине"
17,17,s1_18,,Мебель,19700,"Зеркало-трюмо Камелия 80×40×40 белый, розовый, пудровый с откидным зеркалом","Тип товара: Зеркало-трюмо; Наименование: Камелия; Габариты: 80×40×40; Цвет: белый, розовый, пудровый; Особенности: с откидным зеркалом"
18,18,s1_19,,Мебель,34800,"Кровать Альфа 160×200 белый, чёрный, венге с подъёмным механизмом","Тип товара: Кровать; Наименование: Альфа; Габариты: 160×200; Цвет: белый, чёрный, венге; Особенности: с подъёмным механизмом"
19,19,s1_20,,Мебель,48700,"Диван-канапе Лион изумрудный, золото велюр 2-местный, ножки золото","Тип товара: Диван-канапе; Наименование: Лион; Цвет: изумрудный, золото; Материал: велюр; Особенности: 2-местный, ножки золото"
20,20,s1_21,,Мебель,28400,"Стол обеденный Лофт 180×80 дуб артизан металл лофт, на металлокаркасе","Тип товара: Стол обеденный; Наименование: Лофт; Габариты: 180×80; Цвет: дуб артизан; Материал: металл; Особенности: лофт, на металлокаркасе"
21,21,s1_22,,Мебель,14700,"Банкетка длинная Лион 180×40×45 графит, чёрный велюр, металл","Тип товара: Банкетка длинная; Наименование: Лион; Габариты: 180×40×45; Цвет: графит, чёрный; Материал: велюр, металл"
22,22,s1_23,,Мебель,3400,Тумба прикроватная с 1 ящиком 40×35×50 дуб сонома ЛДСП 1 ящиком,Тип товара: Тумба прикроватная с 1 ящиком; Габариты: 40×35×50; Цвет: дуб сонома; Материал: ЛДСП; Особенности: 1 ящиком
23,23,s1_24,,Мебель,6800,"Вешалка-стойка Альпы 50×30×170 чёрный металл напольная, напольная с обувницей","Тип товара: Вешалка-стойка; Наименование: Альпы; Габариты: 50×30×170; Цвет: чёрный; Материал: металл; Особенности: напольная, напольная с обувницей"
24,24,s1_25,,Мебель,26800,"Кресло-реклайнер Стокгольм серый велюр, ткань с пуфом","Тип товара: Кресло-реклайнер; Наименование: Стокгольм; Цвет: серый; Материал: велюр, ткань; Особенности: с пуфом"
