Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽)
Ванная;Тумба под умывальник;Орхидея;60×45×60 см;белый патина с цветами;ЛДСП/МДФ;подвесная;классика;15700
Гостиная;Диван-кушетка;Кокон;1-местный;пудровый;рогожка;-;-;19400
Спальня;Кровать;Камелия;120×200 см;пудра;велюр;изголовье каретка;-;28900
Гостиная;Кресло-мешок;Кокон;XXL;серый;велюр;круглый;-;5900
Прихожая;Шкаф-пенал;Стокгольм;50×30×210 см;дуб артизан;ЛДСП;2 секции;скандинавский;9700
Кухня;Стол обеденный;Турин;160×90 см;орех;шпон ореха;раздвижной;-;38700
Гостиная;Журнальный столик;Палаццо;110×60 см;чёрный/белый;мрамор каррара/металл;овальный;-;33800
Гостиная;Кресло-реклайнер;Премьер;-;графит;велюр;механический, с подножкой;-;34800
Гостиная;Диван угловой;Лофт;-;чёрный;экокожа;механизм дельфин;лофт;44900
Детская;Шкаф;Школьник;-;бирюзовый/белый;ЛДСП;2-секционный, с полками;детский;14200
Спальня;Зеркало-трюмо;-;60×80 см;-;дерево/стекло;отдельностоящее, с подсветкой;-;13800
Кухня;Стул;Виндзор;-;натуральный;массив бука;лакированный;классика;4800
Гостиная;Кресло подвесное;Качели;-;белое;искусственный ротанг;swing chair, на стойке;-;28400
Ванная;Зеркало;Лазурь;90×70 см;-;стекло/металл;прямоугольное, антипар, регулировка температуры света;-;13700
Спальня;Туалетный столик;Карина;90×45 см;белый матовый;ЛДСП/МДФ;с подсветкой зеркала;-;19700
Гостиная;Сервант;Камелия;140×45×185 см;белый с золотой патиной;МДФ/стекло;с подсветкой, стеклянные дверцы;классика;48700
Кухня;Стул барный;Минск;-;дуб сонома/чёрный;ЛДСП/металл;эконом, регулируемая высота;эконом;2900
Спальня;Зеркало-трюмо;Камелия;80×40×40 см;белый/розовая пудра;ЛДСП/стекло;с откидным зеркалом;-;19700
Спальня;Кровать;Альфа;160×200 см;белый/чёрный венге;ЛДСП;подъёмный механизм;-;34800
Гостиная;Диван-канапе;Лион;2-местный;изумрудный;велюр;ножки золото;классика;48700
Кухня;Стол обеденный;Лофт;180×80 см;дуб артизан;ЛДСП/металл;на металлокаркасе;лофт;28400
Прихожая;Банкетка;Лион;180×40×45 см;графит;велюр/металл;ножки металл чёрный;-;14700
Спальня;Тумба прикроватная;-;40×35×50 см;дуб сонома;ЛДСП;1 ящик;-;3400
Прихожая;Вешалка-стойка;Альпы;50×30×170 см;чёрный;металл;с обувницей;-;6800
Гостиная;Кресло-реклайнер;Стокгольм;-;серый меланж;велюр;с пуфом;-;26800
Декор;Картина-постер;Северянин;60×80 см;-;холст/багет дуб;Карелия;-;3400
Гостиная;Диван прямой;Стокгольм;180×85 см;серая;рогожка;раскладной книжка;скандинавский;28900
Спальня;Кровать;Орхидея;160×200 см;графит;ЛДСП;подъёмный механизм;-;27500
Гостиная;Стеллаж;Лофт;150×30×220 см;чёрный/дуб;металл/дерево;6 полок, многоуровневый;лофт;12700
Спальня;Туалетный столик;Ариэль;100×40×140 см;шампань;МДФ;с зеркалом и подсветкой LED;-;22800
Спальня;Шкаф-купе;Стокгольм;220×60×220 см;дуб артизан;ЛДСП/зеркало;3-дверный;скандинавский;51400
Спальня;Кровать;Атлант;180×200 см;венге;ЛДСП/экокожа;с тумбами в изголовье, мягкая вставка;-;42800
Кухня;Стол кухонный;Модерн;110×70 см;прозрачный/чёрный;стекло/металл;стеклянный;-;9400
Гостиная;Диван прямой;Норд;3-местный;горчичный;велюр;-;-;42700
Декор;Скульптура;Тоскана;35 см;белая;керамика;абстракция;-;3700
Гостиная;Диван-канапе;Орхидея;2-местный;флор;гобелен;резьба, ножки золото патина;классика;58400
Текстиль;Покрывало;Тюльпан;240×260 см;светло-зелёный;пике;летнее;-;5200
Спальня;Комод;Парма;120×45×90 см;дуб артизан;ЛДСП;6 ящиков, широкий;-;24700
Кабинет;Стол компьютерный;-;150×120 см;венге;ЛДСП;угловой, с надстройкой;-;13700
